22.0,22.0,22.0,19.0,18.0,14.0,49.896,17.776,5.2709,0.77176,0.018632,0.006864,0.003923,0.003923,0.4869,0.10003,0.0
24.0,24.0,22.0,18.0,16.0,13.0,57.71,23.8,3.3254,0.23419,0.003903,0.003903,0.003903,0.003903,0.52091,0.14441,0.0
62.0,60.0,59.0,54.0,47.0,33.0,55.831,27.994,12.687,4.8523,1.3939,0.37325,0.041817,0.007744,0.5309,0.12855,1.0
55.0,53.0,53.0,50.0,43.0,31.0,40.467,18.446,9.1189,3.0794,0.84026,0.27243,0.007653,0.001531,0.48328,0.11479,0.0
55.0,53.0,53.0,50.0,43.0,31.0,40.467,18.446,9.1189,3.0794,0.84026,0.27243,0.007653,0.001531,0.48328,0.11479,0.0
62.0,60.0,59.0,54.0,47.0,33.0,55.831,27.994,12.687,4.8523,1.3939,0.37325,0.041817,0.007744,0.5309,0.12855,1.0
44.0,44.0,44.0,41.0,39.0,27.0,18.026,8.5707,0.41038,0.0,0.0,0.0,0.0,0.0,0.47593,0.12357,1.0
6.0,6.0,6.0,6.0,2.0,1.0,20.68,9.4978,1.2237,0.15038,0.0,0.0,0.0,0.0,0.57632,0.071071,0.0
44.0,44.0,44.0,41.0,39.0,27.0,18.026,8.5707,0.41038,0.0,0.0,0.0,0.0,0.0,0.47593,0.12357,1.0
55.0,53.0,53.0,50.0,43.0,31.0,40.467,18.446,9.1189,3.0794,0.84026,0.27243,0.007653,0.001531,0.48328,0.11479,0.0
44.0,43.0,41.0,41.0,37.0,29.0,28.356,6.9356,2.3058,0.32372,0.0,0.0,0.0,0.0,0.50283,0.12674,1.0
62.0,60.0,59.0,54.0,47.0,33.0,55.831,27.994,12.687,4.8523,1.3939,0.37325,0.041817,0.007744,0.5309,0.12855,1.0
29.0,29.0,29.0,27.0,25.0,16.0,15.448,9.1138,1.6335,0.0,0.0,0.0,0.0,0.0,0.54174,0.13958,1.0
70.0,69.0,65.0,63.0,63.0,50.0,10.56,3.1084,0.62551,0.28796,0.10398,0.004799,0.0,0.0,0.5344,0.089587,1.0
44.0,43.0,41.0,41.0,37.0,29.0,28.356,6.9356,2.3058,0.32372,0.0,0.0,0.0,0.0,0.50283,0.12674,1.0
20.0,18.0,16.0,15.0,13.0,9.0,65.114,33.125,8.7854,0.67354,0.051811,0.002933,0.000978,0.000978,0.56946,0.089936,0.0
6.0,6.0,6.0,6.0,2.0,1.0,20.68,9.4978,1.2237,0.15038,0.0,0.0,0.0,0.0,0.57632,0.071071,0.0
6.0,6.0,6.0,6.0,2.0,1.0,20.68,9.4978,1.2237,0.15038,0.0,0.0,0.0,0.0,0.57632,0.071071,0.0
